true_label,prediction,score,model,knockout_name
0.0,1.0,0.94,RandomForest,b3650
0.0,1.0,0.92,RandomForest,b3650
0.0,1.0,0.89,RandomForest,b3650
0.0,1.0,0.93,RandomForest,b3650
0.0,1.0,0.94,RandomForest,b3650
0.0,1.0,0.94,RandomForest,b3650
0.0,1.0,0.95,RandomForest,b3650
0.0,1.0,0.94,RandomForest,b3650
0.0,1.0,0.92,RandomForest,b3650
0.0,1.0,0.96,RandomForest,b3650
0.0,1.0,0.92,RandomForest,b3650
0.0,1.0,0.87,RandomForest,b3650
0.0,1.0,0.99,RandomForest,b3650
0.0,1.0,0.93,RandomForest,b3650
0.0,1.0,0.97,RandomForest,b3650
0.0,1.0,0.93,RandomForest,b3650
0.0,1.0,0.87,RandomForest,b3650
0.0,1.0,0.98,RandomForest,b3650
0.0,1.0,0.93,RandomForest,b3650
0.0,1.0,0.94,RandomForest,b3650
0.0,1.0,0.97,RandomForest,b3650
0.0,1.0,0.93,RandomForest,b3650
0.0,1.0,0.96,RandomForest,b3650
0.0,1.0,0.92,RandomForest,b3650
0.0,1.0,0.97,RandomForest,b3650
0.0,1.0,0.98,RandomForest,b3650
0.0,1.0,0.93,RandomForest,b3650
0.0,1.0,0.92,RandomForest,b3650
0.0,1.0,0.95,RandomForest,b3650
0.0,1.0,0.96,RandomForest,b3650
0.0,1.0,0.95,RandomForest,b3650
0.0,1.0,0.97,RandomForest,b3650
0.0,1.0,0.88,RandomForest,b3650
0.0,1.0,0.92,RandomForest,b3650
0.0,1.0,0.95,RandomForest,b3650
0.0,1.0,0.98,RandomForest,b3650
0.0,1.0,0.95,RandomForest,b3650
0.0,1.0,0.94,RandomForest,b3650
0.0,1.0,0.91,RandomForest,b3650
0.0,1.0,0.98,RandomForest,b3650
0.0,1.0,0.98,RandomForest,b3650
0.0,1.0,1.0,RandomForest,b3650
0.0,1.0,0.96,RandomForest,b3650
0.0,1.0,0.96,RandomForest,b3650
0.0,1.0,0.92,RandomForest,b3650
0.0,1.0,0.98,RandomForest,b3650
0.0,1.0,0.95,RandomForest,b3650
0.0,1.0,0.92,RandomForest,b3650
0.0,1.0,0.96,RandomForest,b3650
0.0,1.0,0.99,RandomForest,b3650
0.0,1.0,0.94,RandomForest,b3650
0.0,1.0,0.95,RandomForest,b3650
0.0,1.0,0.94,RandomForest,b3650
0.0,1.0,0.99,RandomForest,b3650
0.0,1.0,0.97,RandomForest,b3650
0.0,1.0,0.88,RandomForest,b3650
0.0,1.0,0.82,RandomForest,b3650
0.0,1.0,0.97,RandomForest,b3650
0.0,1.0,0.99,RandomForest,b3650
0.0,1.0,0.97,RandomForest,b3650
0.0,1.0,0.96,RandomForest,b3650
0.0,1.0,0.97,RandomForest,b3650
