,Feature,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16,Importance_17,Importance_18,Importance_19,Importance_20,Importance_21,Importance_22,Importance_23,Importance_24,Importance_25,Importance_26,Importance_27,Importance_28,Importance_29,Importance_30,Importance_31,Importance_32,Importance_33,Importance_34,Importance_35,Importance_36,Importance_37,Importance_38,Importance_39,Importance_40,Importance_41,Importance_42,Importance_43,Importance_44,Importance_45,Importance_46,Importance_47,Importance_48,Importance_49,mean_importance,std_importance,system,Z_score
0,EX_cu2_e,0.0232956270958612,0.0249345062866846,0.024141566555139,0.0248279489642141,0.024716932841429,0.0243207590559446,0.0232309181339506,0.02322446581077,0.0252450649941173,0.0243312211581659,0.0243331873171386,0.0238700231771422,0.0229520488215536,0.0231754042365197,0.023600546446422,0.0225310898682418,0.0242680427811902,0.0248774436787763,0.0247309382593292,0.0226461641336887,0.0236495524061373,0.0239281744094432,0.0252058117821976,0.0243198574959733,0.0243889566288704,0.0238643977285711,0.025115144576936,0.0290855016692361,0.0246803077687281,0.0246499597473907,0.0240546055029306,0.023212156373075,0.0278330072305742,0.0243054433529441,0.0243751834414575,0.0240969582262987,0.0234958030245646,0.0240083354942615,0.0237501266359483,0.0245156738323247,0.0233594266553054,0.0234629989754093,0.0241468868997967,0.0249314257888583,0.0235111689064627,0.0246747344399284,0.023105940028072,0.0243026707126907,0.0242901050586511,0.0253528323286412,0.024258540934759144,0.0011018972654728044,Extracellular exchange,52.21375324254596
1,THZPSN3,0.0174235592736713,0.0249534629170384,0.024088448032256,0.0250035070292353,0.0309492139224305,0.0182334339083866,0.0221976699388023,0.0231801449930889,0.0189727394697247,0.0301958144028205,0.0303961370093436,0.0237106583221537,0.0172177938166146,0.0174231835220823,0.0176547141134838,0.0325675184416509,0.0240340494043763,0.0249561078560115,0.0185791266440546,0.01696619713978,0.0235057952312171,0.0302565827449271,0.0250600091004522,0.0242656574744203,0.0183801448273534,0.0237978420310064,0.0189923004832026,0.0300490412405997,0.0185496065186279,0.0183795465854183,0.0240878268935675,0.0232191216431963,0.0229551787888421,0.0244455175116453,0.0243969529287056,0.0238989719152879,0.0176024817031858,0.0342494698615737,0.0237677539080927,0.018480366332151,0.0291871106916103,0.0175423012004027,0.0288133375787017,0.0311319323621478,0.0292965312407533,0.0308810716468781,0.02288092850692,0.0280586618724913,0.0180832307211861,0.018939670490896,0.02363716848384932,0.004861143226869625,Cofactor and Prosthetic Group Biosynthesis,50.85566337472843
2,PMEACPE,0.0233853845575082,0.0248926345898116,0.0179789544309609,0.0248405372777209,0.0186153565862463,0.0183151470222046,0.0173772408547293,0.0174073926253678,0.0190194181273469,0.0181763743770208,0.0180427147598507,0.0178289362439201,0.017234416758743,0.0174404551970487,0.0236793496629588,0.0169155611768763,0.0180601578832693,0.0186439228886464,0.0248169284213033,0.0170435126010345,0.0178001748752642,0.0180582816400962,0.0188322393537028,0.0182657858698898,0.0182892591781702,0.0238554908827098,0.0251715014135801,0.017896610968908,0.0186272676084608,0.0184518101147012,0.0181900210222047,0.0235124805185172,0.0172767434354627,0.0243603586092491,0.0244691562786872,0.0240142270712414,0.0223218650535445,0.024015805609329,0.0178745258189975,0.018421549650698,0.0233860975935674,0.0175259570780131,0.0180717014574656,0.0248396806412614,0.0284279753515178,0.0245987991310634,0.0172230756175953,0.0181990672431799,0.018256602099194,0.0189840974512383,0.020178652093601576,0.0031372441354807056,Cofactor and Prosthetic Group Biosynthesis,43.29662843457468
3,K2L4Aabcpp,0.0226182316277109,0.0187212109345769,0.0287871457345514,0.024488185234535,0.0241490160645244,0.0181857253547831,0.0174172981957646,0.0174326054377894,0.0189016670778697,0.0171047622763743,0.01812885974989,0.0119742056415193,0.0115447426132542,0.0171131922271586,0.0118694671574995,0.0168887585525949,0.0169182184650719,0.0062445777846972,0.0124336447899823,0.0167627668651647,0.0232129690419928,0.0119659621655592,0.0126162977835578,0.0182319524478189,0.0294273004997297,0.0233775639936532,0.024782521564012,0.0235319688986651,0.0186024474339846,0.0239666154658748,0.0280244670374484,0.0174143565535306,0.0227162815653082,0.0183348021421035,0.0176202748298371,0.0180759928725301,0.0174332561130282,0.017991752191446,0.0175580320412891,0.0241581260656039,0.0174602379214377,0.0230459047916883,0.0236158313034448,0.0183355585727926,0.0175529025581116,0.0184434640933819,0.0172763048229071,0.0271729831509254,0.0237330381431892,0.018933550898186,0.019245939974967007,0.004764373924600367,"Transport, Inner Membrane",41.258065450242974
4,MEOHtrpp,0.0174480362554612,0.0187241773582591,0.0181403133712952,0.0187844525858906,0.0185814257446774,0.0182420698047753,0.0174758775633717,0.0174566556109199,0.0190749818073395,0.018174199618173,0.0183001100087935,0.0180099615508853,0.0210602891252915,0.0175388853814454,0.0176127889922916,0.016983387648857,0.0180939873165702,0.024488109605388,0.0186832505300659,0.0168806535245133,0.0176236708471811,0.0180157218236046,0.0188230374784837,0.0180255708409853,0.0235834817884778,0.0179314757731549,0.0189404951101659,0.0178156242146377,0.0185078381239,0.0183848474696897,0.0180797318694615,0.0173638245075548,0.0173111093684366,0.0182806676269534,0.0184336393746572,0.0181421513115532,0.017578194585514,0.0231374591485346,0.0178932261275291,0.0235053189795883,0.0178456455813173,0.0177206784198051,0.0180734685212855,0.0185070512890017,0.0176152658778824,0.018389597829725,0.0172531311905233,0.0182071480391377,0.0183056694659893,0.0190306097871985,0.018561579315523876,0.0016512586196990645,"Transport, Inner Membrane",39.762306704965866
5,UPP3MT,0.0174076534256858,0.0187080262872271,0.0181169161331489,0.0186237880625186,0.0185978897798587,0.0183431530758361,0.017385064919559,0.0172814374453577,0.0189898380169388,0.0182025114165411,0.0281138857586862,0.0179181980128291,0.0173154815744543,0.0174138658326504,0.0176447379845818,0.0169271374049794,0.0180237457626161,0.0186653393087992,0.0185678079572975,0.0169530338883383,0.0177236491616184,0.0180075554434543,0.0188629034775539,0.0181447640639141,0.0185638635667756,0.0177847871064053,0.0188817666264669,0.017852727485497,0.0186256652062211,0.0184075071286462,0.0180542749699749,0.0173757499653927,0.0171545147436261,0.0181792677481199,0.0220442780462957,0.0180200939441026,0.0174772022160688,0.0179961212830277,0.0179251493372752,0.0184291666844905,0.0175781575858926,0.0175396867388902,0.0181111314125993,0.0186229633512125,0.0176222514415539,0.0185010471861125,0.017244524531499,0.018227009208382,0.0183726122803838,0.0188900129478239,0.018308398338743617,0.0016024858319805138,Cofactor and Prosthetic Group Biosynthesis,39.2089469305086
6,MEPCT,0.0176100121610077,0.0187801495518733,0.0180188859524,0.0186995536278973,0.0184125924422173,0.0181595524344771,0.0173997053956138,0.0175289595055019,0.0190237542898675,0.0181737752582307,0.0182339347669578,0.0179022015650255,0.0173655987867657,0.0174028954127374,0.0177029538926413,0.0169469402748638,0.0180291136702622,0.0186634658469873,0.0183980543094613,0.0217229385428182,0.0176060225683716,0.017960854549592,0.019017240282414,0.0182270588358004,0.0183319215507558,0.0178491728347642,0.01897219517026,0.0179134394040297,0.0185176208041184,0.0222921983737893,0.0180612837709188,0.0173212744851969,0.017214877364793,0.018056562016543,0.0183537459228418,0.0180712969254793,0.0175274523662379,0.0180867688288448,0.0178539050088511,0.0184008156655134,0.0175635288856631,0.0174996079863364,0.0180679590218852,0.0186585474179775,0.0176977304892085,0.0184237419755318,0.0173269967430009,0.0181320510054618,0.0182525055978938,0.018973158688925,0.018208131444572128,0.0009241089512706896,Cofactor and Prosthetic Group Biosynthesis,38.989800663479144
7,NI2tex,0.0175465618526706,0.0186333398698718,0.0179337713930306,0.0187476815996322,0.0184813324997157,0.0183266247566308,0.0173707664023886,0.0173416134399731,0.0126490906128392,0.0183048388307356,0.0182949268872451,0.0118150519745056,0.0115146767469935,0.0116307199734579,0.0118594902899755,0.0170882700508595,0.0180061929034958,0.0187324122547933,0.0184656708881444,0.0113297492910506,0.0177631624487878,0.0179723478214321,0.0189073948659818,0.0181632213209417,0.01232625292788,0.0179264699871444,0.0188877930922063,0.0178991494167985,0.0184802869405629,0.0184023871736792,0.0119752361490843,0.0116293486675125,0.0172699744238473,0.0121042811905157,0.0183462948360344,0.018060647113114,0.0175277297970549,0.0181049158258502,0.0179305776929251,0.0184091332701161,0.0059921946017146,0.0174557557004021,0.0120026745887806,0.0123446415062583,0.0117038794075292,0.01242675641613,0.0172240396762294,0.0182723664126436,0.0182238719516312,0.0189946942823173,0.016136005240462294,0.003143062542406484,"Transport, Outer Membrane Porin",34.46090080877804
8,K2L4Aabctex,0.0116714450225006,0.0186503554888157,0.0120904389370739,0.0182303060302542,0.0119436525445697,0.0121744290111107,0.0171134066914895,0.0115354024436494,0.0126497832817459,0.0176258510943385,0.0060974340628934,0.0175357838299118,0.0167682399894282,0.0117232373632729,0.0174234958283435,0.0165857896431621,0.0120173499228982,0.012494357312829,0.0061665604358381,0.0113121635614546,0.0174047825328969,0.0175156917787437,0.0063318623468784,0.0238515598839369,0.0119161310498408,0.0120115623976398,0.0125309244061434,0.0119840673352988,0.0118952259745303,0.006177352527835,0.0120936574039456,0.0174184432823097,0.0172982006808913,0.0122109945788144,0.0241469175380543,0.0179986752610008,0.0167398560809287,0.0179685484240974,0.0175616058976196,0.0122287522433089,0.0176811503046978,0.0117467461442476,0.0060770457172054,0.0185887447131022,0.0117253411318319,0.0185497717239829,0.0168437804691346,0.0121810242003412,0.0181222143141237,0.0182153785415457,0.01437650982761015,0.004201563218916782,Lipopolysaccharide Biosynthesis / Recycling,30.615295988082977
9,DNMPPA,0.0117541849678682,0.0124929540279434,0.0121264633742609,0.0175443763295668,0.0124021911199013,0.018264444662753,0.0117259083220291,0.0165182163877594,0.0178087063765504,0.0122380041850604,0.0121253454474494,0.0119500833679484,0.0115304535845279,0.0116075658626624,0.0118157059157257,0.0170918916003875,0.0176713103234675,0.0124470184345049,0.0176976972063187,0.0113160912301827,0.0168241531827327,0.0171648042183558,0.0125647853883475,0.0182259915552013,0.0183367483105197,0.0118556395308819,0.012553377710793,0.0178540434375875,0.0175605684179837,0.0120923557130089,0.0119713911723152,0.0174421604379176,0.0116407108663548,0.012115759094893,0.0121914126922135,0.0120507346352,0.0176191542692248,0.0120601770359361,0.0118504135101645,0.0122614451931477,0.0116146610092013,0.0176621359655188,0.0231158038997104,0.0124467664826882,0.0117799685648167,0.0124052723740357,0.011530568327048,0.0119957618903782,0.0233033997100275,0.0180797878361482,0.014365971303184398,0.0032056844056504007,Cofactor and Prosthetic Group Biosynthesis,30.592262679761365
