model,fold,macro_weighted_f1,overall_accuracy,mcc,class_2_accuracy
HistGradientBoostingClassifier,0,0.5766579138023905,0.6606350806451613,0.09780181954662942,0.11
HistGradientBoostingClassifier,1,0.5748484441764776,0.6576864919354839,0.09044694695937434,0.11330645161290323
HistGradientBoostingClassifier,2,0.581295062285414,0.6634702620967742,0.11231688189588625,0.11838709677419355
HistGradientBoostingClassifier,3,0.5804237234437245,0.6631678427419355,0.10971766342638196,0.11217741935483871
HistGradientBoostingClassifier,4,0.5769562266622347,0.6599924395161291,0.09925522654572577,0.11403225806451613
HistGradientBoostingClassifier_Balanced,0,0.5805601251798622,0.6458543346774194,0.10089333233706187,0.13419354838709677
HistGradientBoostingClassifier_Balanced,1,0.5769793402037184,0.6461315524193548,0.09265417366016752,0.12814516129032258
HistGradientBoostingClassifier_Balanced,2,0.5771413111638779,0.6416204637096774,0.0945505162228781,0.1485483870967742
HistGradientBoostingClassifier_Balanced,3,0.5779258897175285,0.6457409274193548,0.09534554446310547,0.1295967741935484
HistGradientBoostingClassifier_Balanced,4,0.5807351383709384,0.6468876008064516,0.1027265957581888,0.14193548387096774
LinearSVC,0,0.5057186970039004,0.49340977822580645,0.02885355762560953,0.24040322580645163
LinearSVC,1,0.5116084622181375,0.5014994959677419,0.03402006771429095,0.23338709677419356
LinearSVC,2,0.5059940341169041,0.49358618951612904,0.029493474589276602,0.23798387096774193
LinearSVC,3,0.5087164423180025,0.49682459677419355,0.03382074019693231,0.24225806451612902
LinearSVC,4,0.5099903843857595,0.49954637096774196,0.03218193585877082,0.23758064516129032
LinearSVC_Balanced,0,0.5077958979503812,0.4959677419354839,0.03122956869571937,0.2356451612903226
LinearSVC_Balanced,1,0.5048761488323682,0.4920614919354839,0.028684044468929328,0.24169354838709678
LinearSVC_Balanced,2,0.5056688939928274,0.4927797379032258,0.030404332936723913,0.2407258064516129
LinearSVC_Balanced,3,0.5046973183408531,0.49128024193548386,0.03022093756407563,0.24298387096774193
LinearSVC_Balanced,4,0.5030661829179272,0.4890877016129032,0.02829247225625143,0.2385483870967742
LogisticRegression,0,0.5207356117895376,0.515398185483871,0.04086340287135578,0.23298387096774192
LogisticRegression,1,0.5207356117895376,0.515398185483871,0.04086340287135578,0.23298387096774192
LogisticRegression,2,0.5207356117895376,0.515398185483871,0.04086340287135578,0.23298387096774192
LogisticRegression,3,0.5207356117895376,0.515398185483871,0.04086340287135578,0.23298387096774192
LogisticRegression,4,0.5207356117895376,0.515398185483871,0.04086340287135578,0.23298387096774192
LogisticRegression_Balanced,0,0.4997106741707049,0.4817792338709677,0.03426862227066733,0.26233870967741935
LogisticRegression_Balanced,1,0.4997724084586766,0.48188004032258064,0.03427290277315551,0.26241935483870965
LogisticRegression_Balanced,2,0.4997313180790848,0.481804435483871,0.034292871439034235,0.26233870967741935
LogisticRegression_Balanced,3,0.49970617767528613,0.4817792338709677,0.03424561659564374,0.26233870967741935
LogisticRegression_Balanced,4,0.4996684363593684,0.48171622983870965,0.03424373001580051,0.26233870967741935
RandomForestClassifier,0,0.6087185395533636,0.6953125,0.22025335105855715,0.18137096774193548
RandomForestClassifier,1,0.6121145987372766,0.7003150201612903,0.2415483487279392,0.1811290322580645
RandomForestClassifier,2,0.6101100835940729,0.6982484879032258,0.23260519000766114,0.1804032258064516
RandomForestClassifier,3,0.6111221050926986,0.6985131048387097,0.2337648331510678,0.1825
RandomForestClassifier,4,0.6097221176434918,0.6981602822580645,0.23217470123323294,0.18096774193548387
RandomForestClassifier_Balanced,0,0.5960599131616166,0.6962953629032258,0.22418792142783497,0.11032258064516129
RandomForestClassifier_Balanced,1,0.5936287506500572,0.6956653225806452,0.22195046886359887,0.1007258064516129
RandomForestClassifier_Balanced,2,0.5940702221259516,0.6959803427419354,0.22384150846642817,0.10145161290322581
RandomForestClassifier_Balanced,3,0.6021609254169681,0.699773185483871,0.24239157609837284,0.13088709677419355
RandomForestClassifier_Balanced,4,0.6053877744959814,0.7014868951612904,0.2507062902942352,0.14290322580645162
HistGradientBoostingClassifier_Resampled_Balanced,0,0.5748172865109387,0.6260458669354839,0.08495546275058674,0.15217741935483872
