,Unnamed: 0,model,number_of_genes,number_of_reactions,nullity,id
0,0,322_B/Seed357348.6.796.xml,1259,1847,423,Seed357348
1,0,322_B/Seed537457.7.796.xml,715,1539,326,Seed537457
2,0,322_B/Seed575585.3.796.xml,876,1634,368,Seed575585
3,0,322_B/Seed314289.8.796.xml,766,1530,336,Seed314289
4,0,322_B/Seed641147.3.796.xml,545,1282,240,Seed641147
5,0,322_B/Seed233412.1.796.xml,500,1170,239,Seed23341
6,0,322_B/Seed342610.3.796.xml,852,1635,355,Seed342610
7,0,322_B/Seed205918.4.796.xml,1011,1739,398,Seed205918
8,0,322_B/Seed714995.3.796.xml,744,1575,343,Seed714995
9,0,322_B/Seed516466.4.796.xml,1516,1990,452,Seed516466
10,0,322_B/Seed527029.3.796.xml,1130,1913,445,Seed527029
11,0,322_B/Seed405416.6.796.xml,920,1726,402,Seed405416
12,0,322_B/Seed556267.4.796.xml,496,1080,186,Seed556267
13,0,322_B/Seed634456.3.796.xml,712,1455,301,Seed634456
14,0,322_B/Seed596153.3.796.xml,1044,1635,364,Seed59615
15,0,322_B/Seed757424.7.796.xml,1159,1731,400,Seed757424
16,0,322_B/Seed412021.3.796.xml,1173,1888,446,Seed412021
17,0,322_B/Seed445335.4.796.xml,802,1480,291,Seed445335
18,0,322_B/Seed400673.6.796.xml,649,1309,271,Seed40067
19,0,322_B/Seed652103.3.796.xml,988,1649,374,Seed65210
20,0,322_B/Seed467661.3.796.xml,936,1549,337,Seed467661
21,0,322_B/Seed317655.17.796.xml,751,1445,314,Seed317655
22,0,322_B/Seed767463.3.796.xml,584,1163,224,Seed76746
23,0,322_B/Seed161544.4.796.xml,772,1580,359,Seed161544
24,0,322_B/Seed517417.4.796.xml,591,1162,182,Seed517417
25,0,322_B/Seed271848.6.796.xml,1239,1841,415,Seed271848
26,0,322_B/Seed391593.3.796.xml,848,1499,318,Seed39159
27,0,322_B/Seed762051.3.796.xml,623,1330,252,Seed762051
28,0,322_B/Seed351746.4.796.xml,1167,1893,468,Seed351746
29,0,322_B/Seed500635.8.796.xml,696,1371,262,Seed500635
30,0,322_B/Seed357348.6.796.xml,1259,1847,423,Seed357348
31,0,322_B/Seed537457.7.796.xml,715,1539,326,Seed537457
32,0,322_B/Seed575585.3.796.xml,876,1634,368,Seed575585
33,0,322_B/Seed314289.8.796.xml,766,1530,336,Seed314289
34,0,322_B/Seed641147.3.796.xml,545,1282,240,Seed641147
35,0,322_B/Seed233412.1.796.xml,500,1170,239,Seed23341
36,0,322_B/Seed342610.3.796.xml,852,1635,355,Seed342610
37,0,322_B/Seed205918.4.796.xml,1011,1739,398,Seed205918
38,0,322_B/Seed714995.3.796.xml,744,1575,343,Seed714995
39,0,322_B/Seed516466.4.796.xml,1516,1990,452,Seed516466
40,0,322_B/Seed527029.3.796.xml,1130,1913,445,Seed527029
41,0,322_B/Seed405416.6.796.xml,920,1726,402,Seed405416
42,0,322_B/Seed556267.4.796.xml,496,1080,186,Seed556267
43,0,322_B/Seed634456.3.796.xml,712,1455,301,Seed634456
44,0,322_B/Seed596153.3.796.xml,1044,1635,364,Seed59615
45,0,322_B/Seed757424.7.796.xml,1159,1731,400,Seed757424
46,0,322_B/Seed412021.3.796.xml,1173,1888,446,Seed412021
47,0,322_B/Seed445335.4.796.xml,802,1480,291,Seed445335
48,0,322_B/Seed400673.6.796.xml,649,1309,271,Seed40067
49,0,322_B/Seed652103.3.796.xml,988,1649,374,Seed65210
50,0,322_B/Seed467661.3.796.xml,936,1549,337,Seed467661
51,0,322_B/Seed317655.17.796.xml,751,1445,314,Seed317655
52,0,322_B/Seed767463.3.796.xml,584,1163,224,Seed76746
53,0,322_B/Seed161544.4.796.xml,772,1580,359,Seed161544
54,0,322_B/Seed517417.4.796.xml,591,1162,182,Seed517417
55,0,322_B/Seed271848.6.796.xml,1239,1841,415,Seed271848
56,0,322_B/Seed391593.3.796.xml,848,1499,318,Seed39159
57,0,322_B/Seed762051.3.796.xml,623,1330,252,Seed762051
58,0,322_B/Seed351746.4.796.xml,1167,1893,468,Seed351746
59,0,322_B/Seed500635.8.796.xml,696,1371,262,Seed500635
60,0,322_B/Seed517418.3.796.xml,609,1270,253,Seed517418
61,0,322_B/Seed460265.11.796.xml,1429,1866,455,Seed460265
62,0,322_B/Seed683837.3.796.xml,788,1567,370,Seed683837
63,0,322_B/Seed362242.7.796.xml,1048,1580,351,Seed36224
64,0,322_B/Seed451516.9.796.xml,811,1666,379,Seed451516
65,0,322_B/Seed573066.3.796.xml,1168,1756,396,Seed573066
66,0,322_B/Seed272831.7.796.xml,583,1215,240,Seed272831
67,0,322_B/Seed164546.7.796.xml,1175,1782,389,Seed164546
68,0,322_B/Seed314565.3.796.xml,809,1533,336,Seed314565
69,0,322_B/Seed905067.3.796.xml,557,1120,210,Seed905067
70,0,322_B/Seed331272.3.796.xml,1444,2002,476,Seed33127
71,0,322_B/Seed288681.12.796.xml,1150,1913,449,Seed288681
72,0,322_B/Seed391595.3.796.xml,1090,1645,354,Seed391595
73,0,322_B/Seed315730.11.796.xml,1145,1891,454,Seed315730
74,0,322_B/Seed267608.1.796.xml,924,1742,398,Seed267608
75,0,322_B/Seed598659.3.796.xml,502,1073,174,Seed598659
76,0,322_B/Seed395963.13.796.xml,851,1542,330,Seed39596
77,0,322_B/Seed320389.3.796.xml,1131,1891,422,Seed320389
78,0,322_B/Seed436717.3.796.xml,946,1689,385,Seed436717
79,0,322_B/Seed324925.4.796.xml,596,1181,193,Seed324925
80,0,322_B/Seed521098.4.796.xml,697,1533,316,Seed521098
81,0,322_B/Seed749219.3.796.xml,559,1280,242,Seed749219
82,0,322_B/Seed410289.13.796.xml,817,1412,301,Seed410289
83,0,322_B/Seed373153.25.796.xml,592,1183,220,Seed37315
84,0,322_B/Seed405532.4.796.xml,1063,1792,435,Seed4055
85,0,322_B/Seed269483.3.796.xml,1325,1935,440,Seed26948
86,0,322_B/Seed402882.10.796.xml,843,1651,397,Seed40288
87,0,322_B/Seed376686.10.796.xml,830,1807,347,Seed376686
88,0,322_B/Seed367737.4.796.xml,536,1212,235,Seed367737
