tsne0,tsne1,label,file_n,sample_n,file_name
35.4241,47.998096,Seed257313.1,0,5886,Seed257313.1_10000
35.727085,15.672956,Seed257313.1,0,6283,Seed257313.1_10000
36.997055,52.58671,Seed257313.1,0,7694,Seed257313.1_10000
44.96169,65.68819,Seed257313.1,0,3010,Seed257313.1_10000
47.73485,8.9758415,Seed257313.1,0,5528,Seed257313.1_10000
63.1453,62.150623,Seed257313.1,0,1359,Seed257313.1_10000
18.18932,43.11343,Seed257313.1,0,5396,Seed257313.1_10000
37.177433,47.03663,Seed257313.1,0,5766,Seed257313.1_10000
46.586178,27.56591,Seed257313.1,0,2646,Seed257313.1_10000
54.473392,30.048122,Seed257313.1,0,5772,Seed257313.1_10000
51.154957,17.780561,Seed257313.1,0,5552,Seed257313.1_10000
29.36777,30.995884,Seed257313.1,0,1070,Seed257313.1_10000
52.823658,53.857616,Seed257313.1,0,1087,Seed257313.1_10000
70.787155,22.088837,Seed257313.1,0,7129,Seed257313.1_10000
59.060406,18.461823,Seed257313.1,0,1328,Seed257313.1_10000
30.324404,28.136099,Seed257313.1,0,334,Seed257313.1_10000
26.638517,29.07333,Seed257313.1,0,3648,Seed257313.1_10000
31.900415,7.471211,Seed257313.1,0,8006,Seed257313.1_10000
76.22807,17.098806,Seed257313.1,0,499,Seed257313.1_10000
49.48424,48.66503,Seed257313.1,0,9239,Seed257313.1_10000
71.90518,4.897245,Seed257313.1,0,5502,Seed257313.1_10000
67.55546,27.1506,Seed257313.1,0,2543,Seed257313.1_10000
17.93428,16.246037,Seed257313.1,0,6492,Seed257313.1_10000
59.072235,54.01239,Seed257313.1,0,6539,Seed257313.1_10000
25.041,16.713202,Seed257313.1,0,8877,Seed257313.1_10000
48.238857,57.726036,Seed257313.1,0,9101,Seed257313.1_10000
77.95325,15.4364805,Seed257313.1,0,5694,Seed257313.1_10000
28.970795,57.234276,Seed257313.1,0,6670,Seed257313.1_10000
43.651318,42.293316,Seed257313.1,0,2097,Seed257313.1_10000
45.00516,13.101331,Seed257313.1,0,8391,Seed257313.1_10000
37.818592,7.293067,Seed257313.1,0,3852,Seed257313.1_10000
48.14081,54.42395,Seed257313.1,0,8325,Seed257313.1_10000
73.59931,37.27504,Seed257313.1,0,3223,Seed257313.1_10000
