gene,truth,fba
b0002,0,1
b0003,0,0
b0004,0,0
b0007,1,1
b0008,1,1
b0009,1,1
b0010,1,1
b0019,1,1
b0025,0,0
b0029,0,0
b0030,1,1
b0031,0,0
b0032,0,1
b0033,0,1
b0036,1,1
b0037,1,1
b0038,1,1
b0040,1,1
b0046,1,1
b0047,1,1
b0048,0,1
b0049,1,1
b0052,0,0
b0054,0,0
b0066,1,1
b0067,1,1
b0068,1,1
b0070,1,1
b0071,0,0
b0072,0,0
b0073,0,1
b0074,0,0
b0077,1,1
b0078,1,1
b0084,0,0
b0085,0,0
b0086,0,0
b0087,0,0
b0088,0,0
b0089,0,0
b0090,0,0
b0091,0,0
b0092,1,1
b0096,0,0
b0099,1,1
b0103,0,0
b0104,1,1
b0109,0,0
b0110,1,1
b0112,1,1
b0114,1,1
b0115,1,1
b0116,0,1
b0118,1,1
b0120,1,1
b0121,1,1
b0123,1,1
b0124,1,1
b0125,1,1
b0126,0,1
b0131,1,0
b0133,1,0
b0134,1,0
b0142,0,0
b0149,1,1
b0150,1,1
b0151,1,1
b0152,1,1
b0153,1,1
b0154,0,0
b0155,1,1
b0158,1,1
b0159,0,0
b0160,1,1
b0166,0,0
b0171,0,1
b0173,0,0
b0174,0,0
b0175,0,0
b0179,0,0
b0180,0,0
b0181,0,0
b0182,0,0
b0185,0,0
b0186,1,1
b0197,1,1
b0198,1,1
b0199,1,1
b0200,1,1
b0207,1,1
b0211,1,1
b0212,1,1
b0221,1,1
b0222,1,1
b0237,1,1
b0238,1,1
b0241,1,1
b0242,0,0
b0243,0,0
b0260,1,1
b0261,1,1
b0268,1,1
b0269,1,1
b0273,1,1
b0306,1,1
b0307,1,1
b0308,1,1
b0311,1,1
b0312,1,1
b0314,1,1
b0315,1,1
b0325,1,1
b0331,1,1
b0333,1,1
b0334,1,1
b0335,1,1
b0336,1,1
b0337,1,1
b0339,1,1
b0340,1,1
b0341,1,1
b0343,1,1
b0347,1,1
b0348,1,1
b0349,1,1
b0350,1,1
b0351,1,1
b0352,1,1
b0353,1,1
b0355,1,1
b0356,1,1
b0365,1,1
b0366,1,1
b0367,1,1
b0368,1,1
b0369,0,0
b0376,1,1
b0381,1,1
b0383,1,1
b0386,0,0
b0388,1,1
b0394,1,1
b0401,1,1
b0402,1,1
b0403,1,1
b0404,1,1
b0411,1,1
b0414,0,0
b0415,0,0
b0417,0,0
b0418,0,1
b0420,0,0
b0421,0,0
b0423,0,0
b0425,1,1
b0428,1,1
b0429,1,1
b0430,1,1
b0431,1,1
b0432,1,1
b0433,1,1
b0444,1,1
b0446,1,1
b0451,1,1
b0452,1,1
b0459,1,1
b0462,1,1
b0463,1,1
b0465,1,1
b0469,1,1
b0474,0,1
b0475,0,1
b0477,1,1
b0480,1,1
b0484,1,1
b0485,1,1
b0493,1,1
b0494,1,1
b0505,1,1
b0507,1,1
b0508,1,1
b0509,1,1
b0511,1,1
b0512,1,1
b0514,1,1
b0515,1,1
b0516,1,1
b0517,1,1
b0521,1,1
b0522,0,0
b0523,0,0
b0524,0,0
b0529,0,1
b0543,1,1
b0572,1,1
b0573,1,1
b0574,1,1
b0575,1,1
b0576,1,1
b0577,1,1
b0578,1,1
b0583,0,1
b0584,1,1
b0585,0,1
b0586,1,1
b0588,0,1
b0589,0,1
b0590,0,1
b0591,1,1
b0592,0,1
b0593,1,1
b0594,1,1
b0595,1,1
b0596,1,1
b0597,1,1
b0604,1,1
b0605,1,1
b0606,1,1
b0612,1,1
b0613,1,1
b0614,1,1
b0615,1,1
b0616,1,1
b0617,1,1
b0622,1,1
b0624,1,1
b0628,0,1
b0630,1,1
b0632,1,1
b0635,0,0
b0638,1,1
b0639,0,0
